source_line	original	nomi_ru	nomi_uz	review_reason
1	0 САЛФЕТКИ ВЛАЖ BELLORA COMPACT №1	0 салфетки влажные BELLORA COMPACT №1	0 salfetka nam BELLORA COMPACT №1	leading_zero
2	0 САЛФЕТКИ ВЛАЖ BESTPHARM №1	0 салфетки влажные BESTPHARM №1	0 salfetka nam BESTPHARM №1	leading_zero
3	0 САЛФЕТКИ ВЛАЖ CLEANLY №20	0 салфетки влажные CLEANLY №20	0 salfetka nam CLEANLY №20	leading_zero
4	0 САЛФЕТКИ ВЛАЖ ELMA №1	0 салфетки влажные ELMA №1	0 salfetka nam ELMA №1	leading_zero
5	0 САЛФЕТКИ ВЛАЖ GIGGLES №1	0 салфетки влажные GIGGLES №1	0 salfetka nam GIGGLES №1	leading_zero
6	0 САЛФЕТКИ ВЛАЖ HAPPY HOME №1	0 салфетки влажные HAPPY HOME №1	0 salfetka nam HAPPY HOME №1	leading_zero
7	0 САЛФЕТКИ ВЛАЖ SHARSHARA №1	0 салфетки влажные SHARSHARA №1	0 salfetka nam SHARSHARA №1	leading_zero
8	0 САЛФЕТКИ ВЛАЖ SUNLIGHT №1	0 салфетки влажные SUNLIGHT №1	0 salfetka nam SUNLIGHT №1	leading_zero
9	0 САЛФЕТКИ ВЛАЖ TORENTO №1	0 салфетки влажные TORENTO №1	0 salfetka nam TORENTO №1	leading_zero
10	0 САЛФЕТКИ ВЛАЖ А5 №1	0 салфетки влажные А5 №1	0 salfetka nam A5 №1	leading_zero
11	0 САЛФЕТКИ ВЛАЖ АИСТ №1	0 салфетки влажные Аист №1	0 salfetka nam Aist №1	leading_zero
12	0,3 МЛ ШПРИЦ ИНСУЛИН BD MICRO-FINE PLUS 8ММ) №10	0,3 мл шприц Инсулин BD MICRO-FINE PLUS 8 мм) №10	0,3 ml shprits Insulin BD MICRO-FINE PLUS 8 mm) №10	unbalanced_parentheses
13	0,3 МЛ ШПРИЦ ИНСУЛИН KD-JECT-III	0,3 мл шприц Инсулин KD-JECT-III	0,3 ml shprits Insulin KD-JECT-III	brand_spelling_not_verified
14	0,5 МЛ ШПРИЦ ИНСУЛИН BD MICRO-FINE PLUS (6ММ) №100	0,5 мл шприц Инсулин BD MICRO-FINE PLUS (6 мм) №100	0,5 ml shprits Insulin BD MICRO-FINE PLUS (6 mm) №100	brand_spelling_not_verified
15	0,5 МЛ ШПРИЦ ИНСУЛИН BD MICRO-FINE PLUS (8ММ) №10	0,5 мл шприц Инсулин BD MICRO-FINE PLUS (8 мм) №10	0,5 ml shprits Insulin BD MICRO-FINE PLUS (8 mm) №10	brand_spelling_not_verified
16	0,5 МЛ ШПРИЦ ИНСУЛИН KD-JECT-III	0,5 мл шприц Инсулин KD-JECT-III	0,5 ml shprits Insulin KD-JECT-III	brand_spelling_not_verified
17	1 МЛ ШПРИЦ ALLIANCE	1 мл шприц ALLIANCE	1 ml shprits ALLIANCE	brand_spelling_not_verified
18	1 МЛ ШПРИЦ ATM	1 мл шприц ATM	1 ml shprits ATM	brand_spelling_not_verified
19	1 МЛ ШПРИЦ EASYWAY	1 мл шприц EASYWAY	1 ml shprits EASYWAY	brand_spelling_not_verified
20	1 МЛ ШПРИЦ GT	1 мл шприц GT	1 ml shprits GT	brand_spelling_not_verified
