source_line	original	nomi_ru	nomi_uz	review_reason
1	0 САЛФЕТКИ ВЛАЖ BELLORA COMPACT №1	0 салфетки влажные BELLORA COMPACT №1	0 salfetka nam BELLORA COMPACT №1	leading_zero
2	0 САЛФЕТКИ ВЛАЖ BESTPHARM №1	0 салфетки влажные BESTPHARM №1	0 salfetka nam BESTPHARM №1	leading_zero
3	0 САЛФЕТКИ ВЛАЖ CLEANLY №20	0 салфетки влажные CLEANLY №20	0 salfetka nam CLEANLY №20	leading_zero
4	0 САЛФЕТКИ ВЛАЖ ELMA №1	0 салфетки влажные ELMA №1	0 salfetka nam ELMA №1	leading_zero
5	0 САЛФЕТКИ ВЛАЖ GIGGLES №1	0 салфетки влажные GIGGLES №1	0 salfetka nam GIGGLES №1	leading_zero
6	0 САЛФЕТКИ ВЛАЖ HAPPY HOME №1	0 салфетки влажные HAPPY HOME №1	0 salfetka nam HAPPY HOME №1	leading_zero
7	0 САЛФЕТКИ ВЛАЖ SHARSHARA №1	0 салфетки влажные SHARSHARA №1	0 salfetka nam SHARSHARA №1	leading_zero
8	0 САЛФЕТКИ ВЛАЖ SUNLIGHT №1	0 салфетки влажные SUNLIGHT №1	0 salfetka nam SUNLIGHT №1	leading_zero
9	0 САЛФЕТКИ ВЛАЖ TORENTO №1	0 салфетки влажные TORENTO №1	0 salfetka nam TORENTO №1	leading_zero
10	0 САЛФЕТКИ ВЛАЖ А5 №1	0 салфетки влажные А5 №1	0 salfetka nam A5 №1	leading_zero
11	0 САЛФЕТКИ ВЛАЖ АИСТ №1	0 салфетки влажные Аист №1	0 salfetka nam Aist №1	leading_zero
12	0,3 МЛ ШПРИЦ ИНСУЛИН BD MICRO-FINE PLUS 8ММ) №10	0,3 мл шприц Инсулин BD MICRO-FINE PLUS 8 мм) №10	0,3 ml shprits Insulin BD MICRO-FINE PLUS 8 mm) №10	unbalanced_parentheses
69	2 МЛ ШПРИЦ КD-JECT	2 мл шприц КD-JECT	2 ml shprits KD-JECT	mixed_alphabet
70	2 МЛ ШПРИЦ КIDDI	2 мл шприц КIDDI	2 ml shprits KIDDI	mixed_alphabet
184	9 СИСТЕМА ИНФУЗИОННАЯ UKМ	9 Система Инфузионная UKМ	9 Sistema Infuzionnaya UKM	mixed_alphabet
262	EP 7 МАСЕЛ МАСЛО Д/ВОЛОС 7 В 1 100МЛ	EP 7 Масел масло для волос 7 В 1 100 мл	EP 7 Masel moy soch uchun 7 V 1 100 ml	unresolved_abbreviation
265	EP ACNACID ЛОСЬОН Д/ЛИЦА 150МЛ	EP ACNACID Лосьон для лица 150 мл	EP ACNACID Loson yuz uchun 150 ml	unresolved_abbreviation
266	EP SALON SPA КРЕМ АНТИЦЕЛЛЮЛИТ МОДЕЛИРУЮЩИЙ Д/ТЕЛА 200МЛ	EP SALON SPA крем Антицеллюлит Моделирующий для тела 200 мл	EP SALON SPA krem Antitsellyulit Modeliruyushchiy tana uchun 200 ml	unresolved_abbreviation
397	TYLENOL ACETAMINOPHEN (ТАЙЛОЛНОН ОБЕЗБОЛ.) 500МГ ТАБ. №500	TYLENOL ACETAMINOPHEN (Тайлолнон Обезбол.) 500 мг таблетки. №500	TYLENOL ACETAMINOPHEN (Taylolnon Obezbol.) 500 mg tabletka. №500	unresolved_abbreviation
